year,race_date,track_code,race_number,post_position,horse_name,horse_name_key,finish_position,finish_status
2017,2017-05-20,PIM,13,2,Cloud Computing,cloud computing,1,
2017,2017-05-20,PIM,13,5,Classic Empire,classic empire,2,
2017,2017-05-20,PIM,13,8,Senior Investment,senior investment,3,
2017,2017-05-20,PIM,13,9,Lookin At Lee,lookin at lee,4,
2017,2017-05-20,PIM,13,6,Gunnevera,gunnevera,5,
2017,2017-05-20,PIM,13,1,Multiplier,multiplier,6,
2017,2017-05-20,PIM,13,10,Conquest Mo Money,conquest mo money,7,
2017,2017-05-20,PIM,13,4,Always Dreaming,always dreaming,8,
2017,2017-05-20,PIM,13,3,Hence,hence,9,
2017,2017-05-20,PIM,13,7,Term of Art,term of art,10,
2018,2018-05-19,PIM,13,7,Justify,justify,1,
2018,2018-05-19,PIM,13,8,Bravazo,bravazo,2,
2018,2018-05-19,PIM,13,6,Tenfold,tenfold,3,
2018,2018-05-19,PIM,13,5,Good Magic,good magic,4,
2018,2018-05-19,PIM,13,2,Lone Sailor,lone sailor,5,
2018,2018-05-19,PIM,13,3,Sporting Chance,sporting chance,6,
2018,2018-05-19,PIM,13,4,Diamond King,diamond king,7,
2018,2018-05-19,PIM,13,1,Quip,quip,8,
2019,2019-05-18,PIM,13,1,War of Will,war of will,1,
2019,2019-05-18,PIM,13,10,Everfast,everfast,2,
2019,2019-05-18,PIM,13,5,Owendale,owendale,3,
2019,2019-05-18,PIM,13,3,Warrior's Charge,warrior s charge,4,
2019,2019-05-18,PIM,13,11,Laughing Fox,laughing fox,5,
2019,2019-05-18,PIM,13,4,Improbable,improbable,6,
2019,2019-05-18,PIM,13,13,Win Win Win,win win win,7,
2019,2019-05-18,PIM,13,2,Bourbon War,bourbon war,8,
2019,2019-05-18,PIM,13,8,Signalman,signalman,9,
2019,2019-05-18,PIM,13,12,Anothertwistafate,anothertwistafate,10,
2019,2019-05-18,PIM,13,7,Alwaysmining,alwaysmining,11,
2019,2019-05-18,PIM,13,6,Market King,market king,12,
2019,2019-05-18,PIM,13,9,Bodexpress,bodexpress,,DNF
2020,2020-10-03,PIM,11,4,Swiss Skydiver,swiss skydiver,1,
2020,2020-10-03,PIM,11,9,Authentic,authentic,2,
2020,2020-10-03,PIM,11,6,Jesus' Team,jesus team,3,
2020,2020-10-03,PIM,11,3,Art Collector,art collector,4,
2020,2020-10-03,PIM,11,8,Max Player,max player,5,
2020,2020-10-03,PIM,11,1,Excession,excession,6,
2020,2020-10-03,PIM,11,2,Mr. Big News,mr big news,7,
2020,2020-10-03,PIM,11,5,Thousand Words,thousand words,8,
2020,2020-10-03,PIM,11,7,Ny Traffic,ny traffic,9,
2020,2020-10-03,PIM,11,10,Pneumatic,pneumatic,10,
2020,2020-10-03,PIM,11,11,Liveyourbeastlife,liveyourbeastlife,11,
2021,2021-05-15,PIM,13,6,Rombauer,rombauer,1,
2021,2021-05-15,PIM,13,5,Midnight Bourbon,midnight bourbon,2,
2021,2021-05-15,PIM,13,3,Medina Spirit,medina spirit,3,
2021,2021-05-15,PIM,13,2,Keepmeinmind,keepmeinmind,4,
2021,2021-05-15,PIM,13,4,Crowded Trade,crowded trade,5,
2021,2021-05-15,PIM,13,8,Unbridled Honor,unbridled honor,6,
2021,2021-05-15,PIM,13,7,France Go de Ina,france go de ina,7,
2021,2021-05-15,PIM,13,9,Risk Taking,risk taking,8,
2021,2021-05-15,PIM,13,10,Concert Tour,concert tour,9,
2021,2021-05-15,PIM,13,1,Ram,ram,10,
2022,2022-05-21,PIM,13,5,Early Voting,early voting,1,
2022,2022-05-21,PIM,13,8,Epicenter,epicenter,2,
2022,2022-05-21,PIM,13,2,Creative Minister,creative minister,3,
2022,2022-05-21,PIM,13,4,Secret Oath,secret oath,4,
2022,2022-05-21,PIM,13,9,Skippylongstocking,skippylongstocking,5,
2022,2022-05-21,PIM,13,1,Simplification,simplification,6,
2022,2022-05-21,PIM,13,7,Armagnac,armagnac,7,
2022,2022-05-21,PIM,13,6,Happy Jack,happy jack,8,
2022,2022-05-21,PIM,13,3,Fenwick,fenwick,9,
2023,2023-05-20,PIM,13,1,National Treasure,national treasure,1,
2023,2023-05-20,PIM,13,7,Blazing Sevens,blazing sevens,2,
2023,2023-05-20,PIM,13,3,Mage,mage,3,
2023,2023-05-20,PIM,13,5,Red Route One,red route one,4,
2023,2023-05-20,PIM,13,2,Chase The Chaos,chase the chaos,5,
2023,2023-05-20,PIM,13,6,Perform,perform,6,
2023,2023-05-20,PIM,13,4,Coffeewithchris,coffeewithchris,7,
2024,2024-05-18,PIM,13,6,Seize the Grey,seize the grey,1,
2024,2024-05-18,PIM,13,5,Mystik Dan,mystik dan,2,
2024,2024-05-18,PIM,13,3,Catching Freedom,catching freedom,3,
2024,2024-05-18,PIM,13,8,Tuscan Gold,tuscan gold,4,
2024,2024-05-18,PIM,13,7,Just Steel,just steel,5,
2024,2024-05-18,PIM,13,2,Uncle Heavy,uncle heavy,6,
2024,2024-05-18,PIM,13,9,Imagination,imagination,7,
2024,2024-05-18,PIM,13,1,Mugatu,mugatu,8,
2025,2025-05-17,PIM,13,2,Journalism,journalism,1,
2025,2025-05-17,PIM,13,9,Gosger,gosger,2,
2025,2025-05-17,PIM,13,7,Sandman,sandman,3,
2025,2025-05-17,PIM,13,1,Goal Oriented,goal oriented,4,
2025,2025-05-17,PIM,13,4,Heart of Honor (GB),heart of honor,5,
2025,2025-05-17,PIM,13,6,River Thames,river thames,6,
2025,2025-05-17,PIM,13,5,Pay Billy,pay billy,7,
2025,2025-05-17,PIM,13,3,American Promise,american promise,8,
2025,2025-05-17,PIM,13,8,Clever Again,clever again,9,
